id,year,month,rating,NB,NB_acc,add_rating,norm_rating,aux,norm_nb
604970,2018,1,4.333333333333333,3,282.0,1249.0,4.429078014184397,269,1.1152416356877324
604970,2018,2,5.0,2,284.0,1259.0,4.433098591549296,231,0.8658008658008658
604970,2018,3,4.0,5,289.0,1279.0,4.42560553633218,349,1.4326647564469914
604970,2018,4,4.4,5,294.0,1301.0,4.425170068027211,246,2.0325203252032518
604970,2018,6,4.666666666666667,6,300.0,1329.0,4.43,333,1.8018018018018018
604970,2018,7,4.5,10,310.0,1374.0,4.432258064516129,477,2.0964360587002098
604970,2018,8,4.0,7,317.0,1402.0,4.422712933753943,506,1.383399209486166
604970,2018,9,4.6,5,322.0,1425.0,4.425465838509317,326,1.5337423312883436
604970,2018,10,5.0,6,328.0,1455.0,4.435975609756097,294,2.0408163265306123
604970,2018,11,5.0,3,331.0,1470.0,4.4410876132930515,247,1.214574898785425
604970,2018,12,5.0,3,334.0,1485.0,4.446107784431137,261,1.1494252873563218
604970,2019,1,4.5,2,336.0,1494.0,4.446428571428571,308,0.6493506493506493
604970,2019,2,4.0,4,340.0,1510.0,4.4411764705882355,232,1.7241379310344827
604970,2019,3,4.5,4,344.0,1528.0,4.441860465116279,265,1.509433962264151
604970,2019,4,4.666666666666667,3,347.0,1542.0,4.443804034582133,233,1.2875536480686696
604970,2019,6,4.142857142857143,7,354.0,1571.0,4.437853107344632,271,2.5830258302583027
604970,2019,7,5.0,4,358.0,1591.0,4.444134078212291,451,0.8869179600886918
604970,2019,8,4.0,2,360.0,1599.0,4.441666666666666,337,0.5934718100890208
604970,2019,9,4.0,4,364.0,1615.0,4.436813186813187,261,1.532567049808429
604970,2019,10,4.666666666666667,6,370.0,1643.0,4.440540540540541,298,2.013422818791946
604970,2019,11,4.75,4,374.0,1662.0,4.44385026737968,288,1.3888888888888888
604970,2019,12,4.0,2,376.0,1670.0,4.441489361702128,197,1.015228426395939
604970,2020,1,4.5,2,378.0,1679.0,4.441798941798941,205,0.975609756097561
604970,2020,2,4.75,4,382.0,1698.0,4.445026178010472,235,1.702127659574468
604970,2020,3,4.5,4,386.0,1716.0,4.44559585492228,173,2.312138728323699
604970,2020,6,4.0,1,387.0,1720.0,4.444444444444445,107,0.9345794392523363
604970,2020,7,4.333333333333333,3,390.0,1733.0,4.443589743589744,391,0.7672634271099744
604970,2020,8,5.0,1,391.0,1738.0,4.445012787723785,226,0.4424778761061947
604970,2020,9,5.0,1,392.0,1743.0,4.446428571428571,160,0.625
604970,2020,10,5.0,1,393.0,1748.0,4.447837150127226,145,0.6896551724137931
607503,2013,1,4.0,1,1.0,4.0,4.0,47,2.127659574468085
607503,2013,2,3.0,1,2.0,7.0,3.5,54,1.8518518518518516
607503,2013,3,4.0,1,3.0,11.0,3.6666666666666665,57,1.7543859649122806
607503,2013,4,4.0,1,4.0,15.0,3.75,50,2.0
607503,2013,5,3.0,1,5.0,18.0,3.6,51,1.9607843137254901
607503,2013,7,2.0,1,6.0,20.0,3.3333333333333335,94,1.0638297872340425
607503,2013,8,4.0,1,7.0,24.0,3.4285714285714284,87,1.1494252873563218
607503,2013,10,4.0,1,8.0,28.0,3.5,56,1.7857142857142856
607503,2013,11,5.0,1,9.0,33.0,3.6666666666666665,52,1.9230769230769231
607503,2013,12,3.0,1,10.0,36.0,3.6,44,2.272727272727273
607503,2014,1,3.0,1,11.0,39.0,3.5454545454545454,72,1.3888888888888888
607503,2014,3,4.0,1,12.0,43.0,3.5833333333333335,61,1.639344262295082
607503,2014,7,4.0,2,14.0,51.0,3.642857142857143,98,2.0408163265306123
607503,2014,10,3.5,2,16.0,58.0,3.625,118,1.694915254237288
607503,2014,12,5.0,1,17.0,63.0,3.7058823529411766,102,0.9803921568627451
607503,2015,1,3.75,4,21.0,78.0,3.7142857142857144,128,3.125
607503,2015,3,4.0,1,22.0,82.0,3.727272727272727,160,0.625
607503,2015,4,3.0,1,23.0,85.0,3.6956521739130435,111,0.9009009009009009
607503,2015,6,4.0,1,24.0,89.0,3.7083333333333335,159,0.628930817610063
607503,2015,7,4.0,1,25.0,93.0,3.72,275,0.36363636363636365
607503,2015,9,4.0,2,27.0,101.0,3.740740740740741,238,0.8403361344537815
607503,2015,10,5.0,1,28.0,106.0,3.7857142857142856,222,0.45045045045045046
607503,2015,12,3.5,2,30.0,113.0,3.7666666666666666,184,1.0869565217391304
607503,2016,4,3.5,2,32.0,120.0,3.75,289,0.6920415224913495
607503,2016,7,2.5,2,34.0,125.0,3.676470588235294,531,0.3766478342749529
607503,2016,8,4.25,4,38.0,142.0,3.736842105263158,518,0.7722007722007722
607503,2016,11,3.0,2,40.0,148.0,3.7,271,0.7380073800738007
607503,2017,1,3.5,2,42.0,155.0,3.6904761904761907,277,0.7220216606498195
607503,2017,2,4.0,1,43.0,159.0,3.697674418604651,294,0.3401360544217687
607503,2017,5,3.0,1,44.0,162.0,3.6818181818181817,327,0.3058103975535168
607503,2017,6,3.5,2,46.0,169.0,3.6739130434782608,248,0.8064516129032258
607503,2017,7,4.0,1,47.0,173.0,3.6808510638297873,600,0.16666666666666669
607503,2017,8,4.0,1,48.0,177.0,3.6875,456,0.21929824561403508
607503,2018,8,4.0,2,50.0,185.0,3.7,506,0.3952569169960474
607503,2018,9,5.0,1,51.0,190.0,3.7254901960784315,326,0.3067484662576687
607503,2019,1,4.0,1,52.0,194.0,3.730769230769231,308,0.3246753246753247
607503,2019,6,3.0,1,53.0,197.0,3.7169811320754715,271,0.36900369003690037
607503,2019,7,4.0,1,54.0,201.0,3.7222222222222223,451,0.22172949002217296
607503,2019,9,3.5,2,56.0,208.0,3.7142857142857144,261,0.7662835249042145
607503,2019,11,4.0,1,57.0,212.0,3.719298245614035,288,0.3472222222222222
661108,2013,1,4.666666666666667,3,3.0,14.0,4.666666666666667,47,6.382978723404255
661108,2013,2,5.0,1,4.0,19.0,4.75,54,1.8518518518518516
661108,2013,3,4.666666666666667,3,7.0,33.0,4.714285714285714,57,5.263157894736842
661108,2013,4,4.5,6,13.0,60.0,4.615384615384615,50,12.0
661108,2013,5,4.375,8,21.0,95.0,4.523809523809524,51,15.686274509803921
661108,2013,6,5.0,3,24.0,110.0,4.583333333333333,63,4.761904761904762
661108,2013,7,4.5,14,38.0,173.0,4.552631578947368,94,14.893617021276595
661108,2013,8,4.4,5,43.0,195.0,4.534883720930233,87,5.747126436781609
661108,2013,9,4.0,5,48.0,215.0,4.479166666666667,64,7.8125
661108,2013,10,5.0,4,52.0,235.0,4.519230769230769,56,7.142857142857142
661108,2013,11,4.555555555555555,9,61.0,276.0,4.524590163934426,52,17.307692307692307
661108,2013,12,4.8,5,66.0,300.0,4.545454545454546,44,11.363636363636363
661108,2014,1,4.5,4,70.0,318.0,4.542857142857143,72,5.555555555555555
661108,2014,3,4.0,4,74.0,334.0,4.513513513513513,61,6.557377049180328
661108,2014,4,4.166666666666667,12,86.0,384.0,4.465116279069767,73,16.43835616438356
661108,2014,5,4.5,10,96.0,429.0,4.46875,89,11.235955056179774
661108,2014,6,4.666666666666667,3,99.0,443.0,4.474747474747475,85,3.5294117647058822
661108,2014,7,4.538461538461538,13,112.0,502.0,4.482142857142857,98,13.26530612244898
661108,2014,8,4.333333333333333,15,127.0,567.0,4.464566929133858,134,11.194029850746269
661108,2014,9,4.545454545454546,11,138.0,617.0,4.471014492753623,132,8.333333333333332
661108,2014,10,4.125,8,146.0,650.0,4.4520547945205475,118,6.779661016949152
661108,2014,11,4.6,5,151.0,673.0,4.456953642384106,122,4.098360655737705
661108,2014,12,3.8333333333333335,6,157.0,696.0,4.43312101910828,102,5.88235294117647
661108,2015,1,4.625,8,165.0,733.0,4.442424242424242,128,6.25
661108,2015,2,4.6,10,175.0,779.0,4.451428571428571,134,7.462686567164178
661108,2015,3,4.363636363636363,11,186.0,827.0,4.446236559139785,160,6.875000000000001
661108,2015,4,4.333333333333333,6,192.0,853.0,4.442708333333333,111,5.405405405405405
661108,2015,5,4.4,5,197.0,875.0,4.441624365482234,169,2.9585798816568047
661108,2015,6,4.571428571428571,7,204.0,907.0,4.446078431372549,159,4.40251572327044
661108,2015,7,4.416666666666667,12,216.0,960.0,4.444444444444445,275,4.363636363636364
661108,2015,8,4.307692307692308,26,242.0,1072.0,4.429752066115703,283,9.187279151943462
661108,2015,9,4.375,16,258.0,1142.0,4.426356589147287,238,6.722689075630252
661108,2015,10,4.363636363636363,11,269.0,1190.0,4.4237918215613385,222,4.954954954954955
661108,2015,11,4.142857142857143,7,276.0,1219.0,4.416666666666667,149,4.697986577181208
661108,2015,12,4.333333333333333,9,285.0,1258.0,4.414035087719299,184,4.891304347826087
661108,2016,1,4.666666666666667,12,297.0,1314.0,4.424242424242424,279,4.301075268817205
661108,2016,2,4.25,12,309.0,1365.0,4.41747572815534,285,4.2105263157894735
661108,2016,3,4.545454545454546,11,320.0,1415.0,4.421875,348,3.1609195402298855
661108,2016,4,4.5,12,332.0,1469.0,4.424698795180723,289,4.1522491349480966
661108,2016,5,4.444444444444445,9,341.0,1509.0,4.425219941348973,255,3.5294117647058822
661108,2016,6,4.615384615384615,13,354.0,1569.0,4.432203389830509,323,4.024767801857585
661108,2016,7,4.304347826086956,23,377.0,1668.0,4.424403183023872,531,4.3314500941619585
661108,2016,8,4.333333333333333,21,398.0,1759.0,4.419597989949748,518,4.054054054054054
661108,2016,9,4.5,22,420.0,1858.0,4.423809523809524,365,6.027397260273973
661108,2016,10,4.538461538461538,13,433.0,1917.0,4.427251732101617,371,3.5040431266846364
661108,2016,11,4.571428571428571,7,440.0,1949.0,4.429545454545455,271,2.5830258302583027
661108,2016,12,4.333333333333333,9,449.0,1988.0,4.427616926503341,260,3.4615384615384617
661108,2017,1,4.4,5,454.0,2010.0,4.427312775330397,277,1.8050541516245486
661108,2017,2,4.714285714285714,7,461.0,2043.0,4.431670281995662,294,2.380952380952381
661108,2017,3,4.625,8,469.0,2080.0,4.434968017057569,297,2.6936026936026933
661108,2017,4,3.75,4,473.0,2095.0,4.429175475687104,312,1.282051282051282
661108,2017,5,4.75,16,489.0,2171.0,4.439672801635992,327,4.892966360856269
661108,2017,6,4.375,8,497.0,2206.0,4.438631790744467,248,3.225806451612903
661108,2017,7,4.333333333333333,18,515.0,2284.0,4.43495145631068,600,3.0
661108,2017,8,4.2105263157894735,19,534.0,2364.0,4.426966292134831,456,4.166666666666666
661108,2017,9,4.333333333333333,9,543.0,2403.0,4.425414364640884,304,2.9605263157894735
661108,2017,10,4.375,8,551.0,2438.0,4.424682395644283,296,2.7027027027027026
661108,2017,11,4.25,4,555.0,2455.0,4.423423423423423,321,1.2461059190031152
661108,2017,12,4.333333333333333,3,558.0,2468.0,4.422939068100359,261,1.1494252873563218
661108,2018,1,4.375,8,566.0,2503.0,4.42226148409894,269,2.973977695167286
661108,2018,2,5.0,2,568.0,2513.0,4.424295774647887,231,0.8658008658008658
661108,2018,3,4.25,4,572.0,2530.0,4.423076923076923,349,1.146131805157593
661108,2018,4,4.25,4,576.0,2547.0,4.421875,246,1.6260162601626018
661108,2018,5,5.0,4,580.0,2567.0,4.425862068965517,257,1.556420233463035
661108,2018,6,4.857142857142857,7,587.0,2601.0,4.4310051107325386,333,2.1021021021021022
661108,2018,7,4.142857142857143,7,594.0,2630.0,4.427609427609427,477,1.4675052410901468
661108,2018,8,4.666666666666667,9,603.0,2672.0,4.4311774461028195,506,1.7786561264822136
661108,2018,9,4.0,4,607.0,2688.0,4.42833607907743,326,1.2269938650306749
661108,2018,10,4.714285714285714,7,614.0,2721.0,4.431596091205212,294,2.380952380952381
661108,2018,11,4.0,5,619.0,2741.0,4.4281098546042,247,2.0242914979757085
661108,2018,12,5.0,3,622.0,2756.0,4.430868167202572,261,1.1494252873563218
661108,2019,1,4.4,5,627.0,2778.0,4.430622009569378,308,1.6233766233766231
661108,2019,2,4.333333333333333,3,630.0,2791.0,4.43015873015873,232,1.293103448275862
661108,2019,3,4.0,3,633.0,2803.0,4.4281200631911535,265,1.1320754716981132
661108,2019,4,4.5,2,635.0,2812.0,4.428346456692913,233,0.8583690987124464
661108,2019,5,4.25,4,639.0,2829.0,4.427230046948357,235,1.702127659574468
661108,2019,6,4.4,5,644.0,2851.0,4.4270186335403725,271,1.8450184501845017
661108,2019,7,4.75,4,648.0,2870.0,4.429012345679013,451,0.8869179600886918
661108,2019,8,4.333333333333333,6,654.0,2896.0,4.428134556574924,337,1.7804154302670623
661108,2019,9,4.375,8,662.0,2931.0,4.427492447129909,261,3.065134099616858
661108,2019,10,4.0,1,663.0,2935.0,4.42684766214178,298,0.33557046979865773
661108,2019,11,4.5,2,665.0,2944.0,4.427067669172932,288,0.6944444444444444
661108,2020,1,5.0,1,666.0,2949.0,4.427927927927928,205,0.4878048780487805
661108,2020,3,4.0,1,667.0,2953.0,4.427286356821589,173,0.5780346820809248
661108,2020,7,4.0,3,670.0,2965.0,4.425373134328358,391,0.7672634271099744
661108,2020,8,4.0,1,671.0,2969.0,4.424739195230998,226,0.4424778761061947
661108,2020,10,4.5,2,673.0,2978.0,4.424962852897474,145,1.3793103448275863
775176,2013,1,4.333333333333333,3,3.0,13.0,4.333333333333333,47,6.382978723404255
775176,2013,2,4.0,2,5.0,21.0,4.2,54,3.7037037037037033
775176,2013,3,4.0,3,8.0,33.0,4.125,57,5.263157894736842
775176,2013,4,4.0,1,9.0,37.0,4.111111111111111,50,2.0
775176,2013,5,4.0,1,10.0,41.0,4.1,51,1.9607843137254901
775176,2013,6,5.0,1,11.0,46.0,4.181818181818182,63,1.5873015873015872
775176,2013,7,4.0,4,15.0,62.0,4.133333333333334,94,4.25531914893617
775176,2013,8,3.333333333333333,6,21.0,82.0,3.9047619047619047,87,6.896551724137931
775176,2013,10,5.0,2,23.0,92.0,4.0,56,3.571428571428571
775176,2013,11,4.0,1,24.0,96.0,4.0,52,1.9230769230769231
775176,2013,12,4.5,2,26.0,105.0,4.038461538461538,44,4.545454545454546
775176,2014,1,4.0,1,27.0,109.0,4.037037037037037,72,1.3888888888888888
775176,2014,2,4.333333333333333,3,30.0,122.0,4.066666666666666,48,6.25
775176,2014,3,3.5,4,34.0,136.0,4.0,61,6.557377049180328
775176,2014,4,3.25,4,38.0,149.0,3.9210526315789473,73,5.47945205479452
775176,2014,5,5.0,1,39.0,154.0,3.948717948717949,89,1.1235955056179776
775176,2014,6,4.0,4,43.0,170.0,3.953488372093023,85,4.705882352941177
775176,2014,7,4.0,3,46.0,182.0,3.9565217391304346,98,3.061224489795918
775176,2014,8,4.0,5,51.0,202.0,3.9607843137254903,134,3.731343283582089
