nb,vertices,support
335,"[269814, 269820, 628635]",15
1012,"[196912, 269814, 269817, 269820, 793722]",15
639,"[269820, 793722, 2273093]",15
19,"[269814, 269817, 269820, 2273093]",15
22,"[269814, 269817, 269820, 793722, 801094]",15
322,"[269814, 269817, 1381296, 269820]",15
237,"[269814, 269817, 269820, 275111]",15
532,"[269814, 793722, 269817, 938725]",15
234,"[269814, 269817, 269820, 793722, 801094]",15
677,"[793722, 803286]",15
169,"[269814, 269817, 269820, 793722, 2273093]",15
685,"[938725, 1124428]",15
465,"[269814, 269820, 795570]",15
990,"[793722, 1381296, 4242962]",15
988,"[793722, 1381296, 1026189]",15
1627,"[10317510, 10317530]",15
42,"[269814, 269817, 269820, 812062]",15
1504,"[1026189, 1198856]",15
165,"[269814, 269817, 269820, 793722, 801094]",15
51,"[269814, 269817, 269820, 734546, 793722]",15
40,"[269814, 269817, 269820, 795570]",15
125,"[269814, 269817, 269820, 2035312]",15
428,"[269814, 269820, 269817, 275111]",15
1089,"[196912, 269814, 209260, 269820, 269817]",15
1125,"[196916, 269814, 269817, 269820, 793722]",15
931,"[196920, 269814, 269820]",15
412,"[269814, 269820, 269817, 2035312]",15
1406,"[209260, 269814, 793722, 269820]",15
441,"[269814, 269820, 793722, 801094]",15
927,"[196920, 269814, 269817]",15
416,"[269814, 269820, 269817, 1026189]",15
926,"[196920, 269814]",15
381,"[269814, 269820, 269817, 793722, 938725]",15
925,"[196912, 793722]",15
388,"[269814, 269820, 269817, 795570]",15
822,"[247498, 269820, 269817, 793722, 801094]",15
845,"[247498, 269820, 793722, 801094]",15
1398,"[209260, 269814, 269820, 247498, 793722]",15
853,"[247498, 269820, 269814, 269817, 734546]",15
104,"[269814, 269817, 793722, 1322553]",15
419,"[269814, 269820, 269817, 793722, 734546]",15
1141,"[196916, 269814, 269817, 269820, 793722]",15
858,"[247498, 269820, 269814, 269817, 793722]",15
859,"[247498, 269820, 269814, 734546]",15
269,"[269814, 269817, 793722, 938725]",15
864,"[247498, 269820, 269814, 269817, 734546]",15
409,"[269814, 269820, 269817, 734546, 793722]",15
928,"[196920, 269814, 269817, 269820]",15
1128,"[196916, 269814, 269817, 269820, 247498]",15
814,"[247498, 269817, 269820]",15
1444,"[1089886, 1198856]",15
121,"[269814, 269817, 269820, 795570]",15
795,"[247498, 269814, 793722, 269820]",15
1369,"[209260, 269814, 269820, 269817, 793722]",15
913,"[1381296, 2558192]",15
133,"[269814, 269817, 269820, 1381296]",15
132,"[269814, 269817, 269820, 1026189]",15
808,"[247498, 269817, 269814, 269820]",15
810,"[247498, 269817, 269814, 269820]",15
402,"[269814, 269820, 269817, 2035312]",15
1380,"[209260, 269814, 269820, 793722]",15
1430,"[734546, 2035312]",15
128,"[269814, 269817, 269820, 2035312]",15
131,"[269814, 269817, 269820, 1381296]",15
