nb,vertices,support
913,"[190162, 190166, 190624, 271009, 246171]",88
916,"[190162, 190166, 190624, 271009, 190824]",88
930,"[190162, 190166, 190624, 190629, 271009]",88
931,"[190162, 190166, 190624, 190629, 246171]",88
933,"[190162, 190166, 190624, 190629, 190824]",88
934,"[190162, 190166, 190624, 190629, 1059712]",88
935,"[190162, 190166, 190624, 190629, 271009]",88
950,"[190162, 190166, 190624, 190824]",88
951,"[190162, 190166, 190624, 190824]",88
954,"[190162, 190166, 190624, 190824, 190629]",88
956,"[190162, 190166, 190624, 190824, 1059712]",88
970,"[190162, 190166, 190824, 190624]",88
980,"[190162, 190166, 190824, 246171]",88
990,"[190162, 190166, 190824, 1059712]",88
991,"[190162, 190166, 190824, 1059712, 190624]",88
992,"[190162, 190166, 190824, 190624]",88
993,"[190162, 190166, 190824, 190624]",88
997,"[190162, 190166, 190824, 190624, 1059712]",88
1003,"[190162, 190166, 1059712, 190624]",88
888,"[190162, 190166, 190624, 271009]",88
887,"[190162, 190166, 190624, 190824]",88
885,"[190162, 190166, 190624, 190629]",88
767,"[190162, 190166, 190624, 190629]",88
654,"[190162, 190624, 190166, 190629, 190824]",88
655,"[190162, 190624, 190166, 190629, 1059712]",88
664,"[190162, 190624, 190166, 190824]",88
665,"[190162, 190624, 190166, 190824]",88
673,"[190162, 190624, 190166, 190824, 1059712]",88
674,"[190162, 190624, 190166, 1059712]",88
679,"[190162, 190624, 190166, 1059712, 190824]",88
682,"[190166, 257527]",88
156,"[190166, 190629, 190824]",88
702,"[190166, 190824, 246171, 1059712]",88
724,"[190166, 190824, 190624, 246171]",88
727,"[190166, 190824, 190624, 246171, 1059712]",88
775,"[190162, 190166, 190624, 190824]",88
882,"[190162, 190166, 190624, 1059712]",88
798,"[190162, 190166, 246171]",88
829,"[190162, 190166, 190629]",88
830,"[190162, 190166, 190629, 190624]",88
834,"[190162, 190166, 190629, 190624, 190824]",88
850,"[190162, 190166, 190629, 190824]",88
851,"[190162, 190166, 190629, 190824, 190624]",88
855,"[190162, 190166, 190629, 190824, 1059712]",88
856,"[190162, 190166, 190629, 190824, 190624]",88
857,"[190162, 190166, 190629, 1059712]",88
858,"[190162, 190166, 190629, 1059712, 190624]",88
879,"[190162, 190166, 190624, 190629]",88
881,"[190162, 190166, 190624, 190824]",88
169,"[190166, 190629, 190824, 1059712]",88
1008,"[190162, 190166, 1059712, 190624, 190824]",88
120,"[190624, 190629, 254723]",88
52,"[190166, 246171, 1059712]",88
30,"[246171, 254723]",88
123,"[190166, 190629]",88
